 ,Tipo de Resíduo,Origem / País,"Processamento (triturado, moído, fibra etc,)",Equação de Resilient Modulus,ID da Amostra,LL (%),PL (%),IP (%),Finos (%), MDD (kN/m³),OMC (%),CBR (%),Expansão (%),AASHTO,Tensão de Confinamento (mPa),Tensão Desviadora (mPa),Número de Ciclos de Carga,K1,K2,K3,R²,MR (MPa),Deformação Permanente (μℰ),Deformação Permanente Final (μℰ),DP (%),"Aplicação sugerida (subleito, sub-base, base)",Observações
"10,1061/JPEODX,0000245",RCA,Austrália,Triturado,-,G,0,"23,12",0,,"2,05","10,8",260,,A-1-a,"0,05",,,,,,,,,,,Base leve,
"10,1061/JPEODX,0000246",RCA,Austrália,Triturado,-,H,"22,76","20,92",2,,"1,97","11,2",240,,A-1-a,"0,05",,,,,,,,,,,Base leve,
"10,1061/JPEODX,0000247",RCA,Austrália,Triturado,-,I,"22,28","17,03",5,,"2,21","8,8",280,,A-1-a,"0,05",,,,,,,,,,,Base,
"10,1061/JPEODX,0000248",RCA,Austrália,Triturado,-,J,0,26,0,,"1,97","12,5",185,,A-1-a,"0,05",,,,,,,,,,,Subbase,
"10,1061/JPEODX,0000249",RCA,Austrália,Triturado,-,K,"23,24","21,37",2,,"1,98","11,7",190,,A-1-a,"0,05",,,,,,,,,,,Subbase,
"10,1061/JPEODX,0000250",RCA,Austrália,Triturado,-,L,0,"30,92",0,,"2,06","10,5",185,,A-1-a,"0,05",,,,,,,,,,,Subbase,
"10,1061/JPEODX,0000251",RCA,Austrália,Triturado,-,M,"26,6","8,01",9,,"1,98",11,205,,A-2-4,"0,05",,,,,,,,,,,Subbase,
"10,1061/JPEODX,0000252",RCA,Austrália,Triturado,-,N,0,"29,12",0,,2,"10,4",210,,A-1-a,"0,05",,,,,,,,,,,Subbase/Base leve,
"10,1080/10298436,2021,1916819",RCA,Turquia,Triturado,-,100 NA,"28,61","21,17","7,44",,,,"75,14",,A-2-4,,,,,,,,107,,,,-,
"10,1080/10298436,2021,1916820",RCA,Turquia,Triturado,-,101 NA,"28,61","21,17","7,44",,,,"75,14",,A-2-4,,,,,,,,140,,,,-,
"10,1080/10298436,2021,1916821",RCA,Turquia,Triturado,-,102 NA,"28,61","21,17","7,44",,,,"75,14",,A-2-4,,,,,,,,208,,,,-,
"10,1080/10298436,2021,1916822",RCA,Turquia,Triturado,-,100 RCA1,"28,71",0,0,,,,"133,77",,A-1-a,,,,,,,,107,,,,-,
"10,1080/10298436,2021,1916823",RCA,Turquia,Triturado,-,101 RCA1,"28,71",0,0,,,,"133,77",,A-1-a,,,,,,,,140,,,,-,
"10,1080/10298436,2021,1916824",RCA,Turquia,Triturado,-,102 RCA1,"28,71",0,0,,,,"133,77",,A-1-a,,,,,,,,208,,,,-,
"10,1080/10298436,2021,1916825",RCA,Turquia,Triturado,-,100 RCA2,"29,68",0,0,,,,"129,42",,A-1-a,,,,,,,,107,,,,-,
"10,1080/10298436,2021,1916826",RCA,Turquia,Triturado,-,101 RCA2,"29,68",0,0,,,,"129,42",,A-1-a,,,,,,,,140,,,,-,
"10,1080/10298436,2021,1916827",RCA,Turquia,Triturado,-,102 RCA2,"29,68",0,0,,,,"129,42",,A-1-a,,,,,,,,208,,,,-,
"10,1080/10298436,2021,1916828",RCA,Turquia,Triturado,-,100 RCA3,"30,72",0,0,,,,114,,A-1-a,,,,,,,,107,,,,-,
"10,1080/10298436,2021,1916829",RCA,Turquia,Triturado,-,101 RCA3,"30,72",0,0,,,,114,,A-1-a,,,,,,,,140,,,,-,
"10,1080/10298436,2021,1916830",RCA,Turquia,Triturado,-,102 RCA3,"30,72",0,0,,,,114,,A-1-a,,,,,,,,208,,,,-,
"10,1080/10298436,2021,1916831",RCA,Turquia,Triturado,-,75NA 25RCA1,"29,7",0,0,,,,"85,67",,Misto,,,,,,,,,,,,-,
"10,1080/10298436,2021,1916832",RCA,Turquia,Triturado,-,75NA 25RCA2,"28,86",0,0,,,,"68,45",,Misto,,,,,,,,,,,,-,
"10,1080/10298436,2021,1916833",RCA,Turquia,Triturado,-,75NA 25RCA3,"28,38",0,0,,,,"62,33",,Misto,,,,,,,,,,,,-,
"10,1080/10298436,2021,1916834",RCA,Turquia,Triturado,-,50NA 50RCA1,"28,08",0,0,,,,"55,45",,Misto,,,,,,,,107,,,,-,
"10,1080/10298436,2021,1916835",RCA,Turquia,Triturado,-,50NA 50RCA2,"28,08",0,0,,,,"55,45",,Misto,,,,,,,,140,,,,-,
"10,1080/10298436,2021,1916836",RCA,Turquia,Triturado,-,50NA 50RCA3,"28,08",0,0,,,,"55,45",,Misto,,,,,,,,208,,,,-,
"10,1080/10298436,2021,1916837",RCA,Turquia,Triturado,-,50NA 50RCA2,"28,98",0,0,,,,"45,67",,Misto,,,,,,,,,,,,-,
"10,1080/10298436,2021,1916838",RCA,Turquia,Triturado,-,50NA 50RCA3,"27,99",0,0,,,,"40,23",,Misto,,,,,,,,,,,,-,
"10,1080/10298436,2021,1916839",RCA,Turquia,Triturado,-,25NA 75RCA1,"27,42",0,0,,,,"92,69",,Misto,,,,,,,,107,,,,-,
"10,1080/10298436,2021,1916840",RCA,Turquia,Triturado,-,25NA 75RCA2,"27,42",0,0,,,,"92,69",,Misto,,,,,,,,140,,,,-,
"10,1080/10298436,2021,1916841",RCA,Turquia,Triturado,-,25NA 75RCA3,"27,42",0,0,,,,"92,69",,Misto,,,,,,,,208,,,,-,
"10,1080/10298436,2021,1916842",RCA,Turquia,Triturado,-,25NA 75RCA2,"28,12",0,0,,,,"78,34",,Misto,,,,,,,,,,,,-,
"10,1080/10298436,2021,1916843",RCA,Turquia,Triturado,-,25NA 75RCA3,"28,49",0,0,,,,"65,12",,Misto,,,,,,,,,,,,-,
10.1016/j.trgeo.2025.101578,RCA,EUA,Triturado,Modelo de Witczak,RCA_1,,,,"1,1","18,2",0,,,A-1-a,"0,035","0,103",15 Estágios,1542,"0,65","0,26","0,94",223,,,,Base de pavimento,"Open-Graded (OGDC). Ótima drenagem, porém Módulo de Resiliência menor em relação aos RCAs densos."
10.1016/j.trgeo.2025.101578,RCA,EUA,Triturado,Modelo de Witczak,RCA_2,,,,"0,9",21,"9,8",,,A-1-a,"0,035","0,103",15 Estágios,2204,"0,6","0,1","0,94",326,,,,Base de pavimento,Open-Graded (OGDC). Maior empacotamento que o RCA_1 devido à variação fina do cascalho. Boa drenagem.
10.1016/j.trgeo.2025.101578,RCA,EUA,Triturado,Modelo de Witczak,RCA_3,,,,"2,1","15,8",0,,,A-1-a,"0,035","0,103",15 Estágios,1189,"0,76","0,18","0,92",192,,,,Base de pavimento,Open-Graded (OGDC). Menor MDD e menor MR reportado no ensaio 1 dentre os RCAs abertos.
10.1016/j.trgeo.2025.101578,RCA,EUA,Triturado,Modelo de Witczak,RCA_4,,,,"2,8","20,5","9,3",,,A-1-a,"0,035","0,103",15 Estágios,1700,"0,81","0,66","0,94",230,,,,Base de pavimento,"Material denso. Alta rigidez, porém os autores reportaram drenagem classificada como ""muito pobre""."
10.1016/j.trgeo.2025.101578,RCA,EUA,Triturado,Modelo de Witczak,RCA_5,,,,2,"21,1","9,4",,,A-1-a,"0,035","0,103",15 Estágios,2617,"0,56","0,12","0,95",395,,,,Base de pavimento,"Atingiu um dos maiores Módulos de Resiliência da classe e drenagem classificada como ""Razoável (Fair)""."
10.1016/j.trgeo.2025.101578,RCA,EUA,Triturado,Modelo de Witczak,RCA_6,,,,"3,3",21,"8,4",,,A-1-a,"0,035","0,103",15 Estágios,2038,"0,65","0,26","0,88",294,,,,Base de pavimento,"Material denso. Boa resistência mecânica (SMR = 294), mas capacidade de drenagem ""pobre""."
10.1016/j.trgeo.2025.101578,RCA,EUA,Triturado / Blend,Modelo de Witczak,RCA_7,,,,"5,8","20,5","10,2",,,A-1-a,"0,035","0,103",15 Estágios,1415,"0,87","0,63","0,97",206,,,,Base de pavimento,Blend composto por areia de RCA e cascalho Natural (GM). Drenagem razoável e baixo residual de umidade.
10.1016/j.trgeo.2025.101578,RCA,EUA,Triturado,Modelo de Witczak,RCA_8,,,,"2,7","20,2",11,,,A-1-a,"0,035","0,103",15 Estágios,2100,"0,76","0,45","0,98",307,,,,Base de pavimento,"Embora possua baixa condutividade hidráulica (drenagem muito pobre), atingiu altas taxas elásticas."
10.1016/j.trgeo.2025.101578,RCA,EUA,Triturado,Modelo de Witczak,RCA_9,,,,"3,1","21,2","8,6",,,A-1-a,"0,035","0,103",15 Estágios,1881,"0,69","0,14","0,94",303,,,,Base de pavimento,Material mais denso testado (MDD 21.2 kN/m³). Drenagem razoável. Reteve umidade de forma similar a solos mais finos.
10.1016/j.trgeo.2025.101578,RCA,EUA,Triturado,Modelo de Witczak,RCA_10,,,,"11,6","20,1","10,9",,,A-1-a,"0,035","0,103",15 Estágios,1844,"0,66","0,48","0,95",238,,,,Base de pavimento,O alto índice de finos (11.6%) e areia aumentou o tempo de drenagem. K3 elevado indica amolecimento sob cisalhamento.
10.1016/j.trgeo.2025.101578,RCA,EUA,Triturado,Modelo de Witczak,RCA_11,,,,"0,4","20,8","8,2",,,A-1-a,"0,035","0,103",15 Estágios,1339,"0,7","0,08","0,86",213,,,,Base de pavimento,Material com o menor teor de finos da amostra (0.4%).
10.1016/j.trgeo.2025.101578,RCA,EUA,Triturado,Modelo de Witczak,RCA_12,,,,"8,7",21,"9,4",,,A-1-a,"0,035","0,103",15 Estágios,1361,"1,06","0,96","0,92",200,,,,Base de pavimento,Excesso de areia e finos reduziu a conectividade dos poros. Absorção alta e risco sob ciclos de congelamento/degelo.
https://doi.org/10.1617/s11527-018-1219-7 ,Vidro,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.06,MG20-100%FL,,,,2,2339,"5,5",,,,"0,103","0,103",1000,,,,,414,,,,Base,
https://doi.org/10.1617/s11527-018-1219-8,Vidro,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.07,MG20-25%RG/75%FL,,,,2,2258,"5,9",,,,"0,021","0,021",100,,,,,83,,,,Base/Sub-base,
https://doi.org/10.1617/s11527-018-1219-9,Vidro,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.08,MG20-25%RG/75%FL,,,,2,2258,"5,9",,,,"0,021","0,041",100,,,,,104,,,,Base/Sub-base,
https://doi.org/10.1617/s11527-018-1219-10,Vidro,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.09,MG20-50%RG/50%FL,,,,"1,9",2213,"6,3",,,,"0,021","0,062",100,,,,,124,,,,Base/Sub-base,
https://doi.org/10.1617/s11527-018-1219-11,Vidro,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.10,MG20-50%RG/50%FL,,,,"1,9",2213,"6,3",,,,"0,035","0,035",100,,,,,138,,,,Base/Sub-base,
https://doi.org/10.1617/s11527-018-1219-12,Vidro,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.11,MG20-75%RG/25%FL,,,,"1,9",2189,"6,7",,,,"0,035","0,069",100,,,,,172,,,,Base/Sub-base,
https://doi.org/10.1617/s11527-018-1219-13,Vidro,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.12,MG20-75%RG/25%FL,,,,"1,9",2189,"6,7",,,,"0,069","0,138",100,,,,,345,,,,Base/Sub-base,
https://doi.org/10.1617/s11527-018-1219-14,Vidro,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.13,MG20-100%RG,,,,"1,9",2131,"6,4",,,,"0,069","0,207",100,,,,,414,,,,Sub-base,
https://doi.org/10.1617/s11527-018-1219-15,Vidro,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.14,RG 100%,,,,4,1886,"10,8",,,,,,,,,,,,,,,Sub-base,
https://doi.org/10.1617/s11527-018-1219-16,Vidro,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.15,MG20-100%FL,,,,2,2339,"5,5",,,,"0,103","0,103",100,,,,,414,,,,Base,
https://doi.org/10.1617/s11527-018-1219-17,Vidro,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.16,MG20-25%RG/75%FL,,,,2,2258,"5,9",,,,"0,103","0,103",100,,,,,414,,,,Base/Sub-base,
https://doi.org/10.1617/s11527-018-1219-18,Vidro,Canadá,Triturado,Mr = -5.3×10⁻⁶×σd¹·⁰⁵×σ₃¹·¹⁵×0.14×%RG + 0.43×θ + 79.17,MG20-100%RG,,,,"1,9",2131,"6,4",,,,"0,138","0,276",100,,,,,690,,,,Sub-base,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000850,RAP,Austrália,Triturado,-,100RAP,,,,"3,4",2,"8,1","32,5",,,"0,05",,,,,,,,,,,-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000851,RAP,Austrália,Triturado,-,50RAP/50RCA,,,,"1,7","2,3","11,5",39,,,"0,05",,,,,,,,,,,-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000852,RAP,Austrália,Triturado,-,30RAP/70RCA,,,,"3,2","1,94",12,46,,,"0,05",,,,,,,,,,,-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000853,RAP,Austrália,Triturado,-,15RAP/85RCA,,,,0,"1,95","12,2",66,,,"0,05","0,15",Multiplos,,,,,232,8866,,,-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000854,RAP,Austrália,Triturado,-,15RAP/85RCA,,,,0,"1,95","12,2",66,,,"0,05","0,25",Multiplos,,,,,412728,19723298,,,-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000855,RAP,Austrália,Triturado,-,15RAP/85RCA,,,,0,"1,95","12,2",66,,,"0,05","0,35",Multiplos,,,,,587928,8781823,,,-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000856,RAP,Austrália,Triturado,-,100RCA,,,,"3,6","1,96",12,118,,,"0,05","0,15",Multiplos,,,,,342357,24265669,,,-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000857,RAP,Austrália,Triturado,-,100RCA,,,,"3,6","1,96",12,118,,,"0,05","0,25",Multiplos,,,,,660713,15852956,,,-,
http://dx.doi.org/10.1061/(ASCE)MT.1943-5533.0000858,RAP,Austrália,Triturado,-,100RCA,,,,"3,6","1,96",12,118,,,"0,05","0,35",Multiplos,,,,,695716,15852532,,,-,
10.34910/MCE.115.5,Controle (Natural),Indonésia,Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",C0 (35 °C),,,,,,,,,,,,,,,,"0,825","682,5",,,,Base e Revestimento (AC-BC),"Mistura Controle a 35°C. Ligante Pen 60/70. G_graúdo: 2,642; G_miúdo: 2,614."
10.34910/MCE.115.5,Controle (Natural),Indonésia,Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",C0 (45 °C),,,,,,,,,,,,,,,,"0,825",284,,,,Base e Revestimento (AC-BC),Mistura Controle a 45°C. Aumento da temperatura reduz o MR.
10.34910/MCE.115.5,Escória de Aço (EAF),Indonésia,Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CS1 (35 °C),,,,,,,,,,,,,,,,"0,825","697,5",,,,Base e Revestimento (AC-BC),"Blend: 90% Nat + 10% EAF. G_graúdo: 2,727; G_miúdo: 2,661."
10.34910/MCE.115.5,Escória de Aço (EAF),Indonésia,Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CS1 (45 °C),,,,,,,,,,,,,,,,"0,825","293,5",,,,Base e Revestimento (AC-BC),Blend: 90% Nat + 10% EAF a 45°C.
10.34910/MCE.115.5,Escória de Aço (EAF),Indonésia,Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CS2 (35 °C),,,,,,,,,,,,,,,,"0,825","1057,5",,,,Base e Revestimento (AC-BC),"Blend: 80% Nat + 20% EAF. Atingiu excelente rigidez. G_graúdo: 2,811; G_miúdo: 2,708."
10.34910/MCE.115.5,Escória de Aço (EAF),Indonésia,Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CS2 (45 °C),,,,,,,,,,,,,,,,"0,825",294,,,,Base e Revestimento (AC-BC),Blend: 80% Nat + 20% EAF a 45°C.
10.34910/MCE.115.5,Escória de Aço (EAF),Indonésia,Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CS3 (35 °C),,,,,,,,,,,,,,,,"0,825",843,,,,Base e Revestimento (AC-BC),"Blend: 70% Nat + 30% EAF. Queda de MR em relação a 20%. G_graúdo: 2,896; G_miúdo: 2,756."
10.34910/MCE.115.5,Escória de Aço (EAF),Indonésia,Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CS3 (45 °C),,,,,,,,,,,,,,,,"0,825","293,5",,,,Base e Revestimento (AC-BC),Blend: 70% Nat + 30% EAF a 45°C.
10.34910/MCE.115.5,RAP,Indonésia,Fresa,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR1 (35 °C),,,,,,,,,,,,,,,,"0,825","738,5",,,,Base e Revestimento (AC-BC),"Blend: 90% Nat + 10% RAP. Uso de Reclamite (23%). G_graúdo: 2,627; G_miúdo: 2,597."
10.34910/MCE.115.5,RAP,Indonésia,Fresa,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR1 (45 °C),,,,,,,,,,,,,,,,"0,825","275,5",,,,Base e Revestimento (AC-BC),Blend: 90% Nat + 10% RAP a 45°C.
10.34910/MCE.115.5,RAP,Indonésia,Fresa,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR2 (35 °C),,,,,,,,,,,,,,,,"0,825","1027,5",,,,Base e Revestimento (AC-BC),"Blend: 80% Nat + 20% RAP. Uso de Reclamite. G_graúdo: 2,613; G_miúdo: 2,580."
10.34910/MCE.115.5,RAP,Indonésia,Fresa,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR2 (45 °C),,,,,,,,,,,,,,,,"0,825",363,,,,Base e Revestimento (AC-BC),Blend: 80% Nat + 20% RAP a 45°C.
10.34910/MCE.115.5,RAP,Indonésia,Fresa,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR3 (35 °C),,,,,,,,,,,,,,,,"0,825",1231,,,,Base e Revestimento (AC-BC),"Blend: 70% Nat + 30% RAP. MR Máximo. G_graúdo: 2,598; G_miúdo: 2,562."
10.34910/MCE.115.5,RAP,Indonésia,Fresa,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR3 (45 °C),,,,,,,,,,,,,,,,"0,825","452,5",,,,Base e Revestimento (AC-BC),Blend: 70% Nat + 30% RAP a 45°C.
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR1S1 (35 °C),,,,,,,,,,,,,,,,"0,825","729,5",,,,Base e Revestimento (AC-BC),"Blend: 80% Nat / 10% RAP / 10% Slag. G_graúdo: 2,712; G_miúdo: 2,644."
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR1S1 (45 °C),,,,,,,,,,,,,,,,"0,825",261,,,,Base e Revestimento (AC-BC),Blend: 80% Nat / 10% RAP / 10% Slag a 45°C.
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR1S2 (35 °C),,,,,,,,,,,,,,,,"0,825",775,,,,Base e Revestimento (AC-BC),"Blend: 70% Nat / 10% RAP / 20% Slag. G_graúdo: 2,797; G_miúdo: 2,691."
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR1S2 (45 °C),,,,,,,,,,,,,,,,"0,825","289,5",,,,Base e Revestimento (AC-BC),Blend: 70% Nat / 10% RAP / 20% Slag a 45°C.
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR1S3 (35 °C),,,,,,,,,,,,,,,,"0,825","781,5",,,,Base e Revestimento (AC-BC),"Blend: 60% Nat / 10% RAP / 30% Slag. G_graúdo: 2,881; G_miúdo: 2,738."
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR1S3 (45 °C),,,,,,,,,,,,,,,,"0,825","316,5",,,,Base e Revestimento (AC-BC),Blend: 60% Nat / 10% RAP / 30% Slag a 45°C.
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR2S1 (35 °C),,,,,,,,,,,,,,,,"0,825",838,,,,Base e Revestimento (AC-BC),"Blend: 70% Nat / 20% RAP / 10% Slag. G_graúdo: 2,698; G_miúdo: 2,627."
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR2S1 (45 °C),,,,,,,,,,,,,,,,"0,825",357,,,,Base e Revestimento (AC-BC),Blend: 70% Nat / 20% RAP / 10% Slag a 45°C.
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR2S2 (35 °C),,,,,,,,,,,,,,,,"0,825","901,5",,,,Base e Revestimento (AC-BC),"Blend: 60% Nat / 20% RAP / 20% Slag. G_graúdo: 2,782; G_miúdo: 2,674."
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR2S2 (45 °C),,,,,,,,,,,,,,,,"0,825","289,5",,,,Base e Revestimento (AC-BC),Blend: 60% Nat / 20% RAP / 20% Slag a 45°C.
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR2S3 (35 °C),,,,,,,,,,,,,,,,"0,825","852,5",,,,Base e Revestimento (AC-BC),"Blend: 50% Nat / 20% RAP / 30% Slag. G_graúdo: 2,867; G_miúdo: 2,721."
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR2S3 (45 °C),,,,,,,,,,,,,,,,"0,825",274,,,,Base e Revestimento (AC-BC),Blend: 50% Nat / 20% RAP / 30% Slag a 45°C.
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR3S1 (35 °C),,,,,,,,,,,,,,,,"0,825","1081,5",,,,Base e Revestimento (AC-BC),"Blend ótimo: 60% Nat / 30% RAP / 10% Slag. G_graúdo: 2,683; G_miúdo: 2,610."
10.34910/MCE.115.5,Misto (RAP+EAF),Indonésia,Fresa e Triturado,"SMix = 1140,587Sbit + 65,286VIM + 0,798RAP + 0,555Slag - 112,603",CR3S1 (45 °C),,,,,,,,,,,,,,,,"0,825","364,5",,,,Base e Revestimento (AC-BC),Blend: 60% Nat / 30% RAP / 10% Slag a 45°C.
